,comorbidade,tabagista,etilista,doencas_cardiacas,doencas_respiratorias,doencas_metabolicas,setor_destinado,tempo_permanencia,desfecho_padronizado
comorbidade,1.0,0.9484220349125526,0.9420771974305892,0.9743028941219712,0.946823155277683,0.9661650994087518,0.1486000994698888,0.7272582910856618,0.7252206296427227
tabagista,0.9484220349125526,1.0,0.9618691933347678,0.9421018101653378,0.9511151376565005,0.9423709557925277,0.16191313117352682,0.7218789890784763,0.7242097951042289
etilista,0.9420771974305892,0.9618691933347678,1.0,0.946778116820723,0.9420895070154325,0.9481843342815309,0.21260769927413625,0.7236749159363738,0.7315820631648262
doencas_cardiacas,0.9743028941219712,0.9421018101653378,0.946778116820723,1.0,0.9434346007374153,0.9669972081161721,0.14915172993515025,0.7179373211286432,0.7337248519036491
doencas_respiratorias,0.946823155277683,0.9511151376565005,0.9420895070154325,0.9434346007374153,1.0,0.9421322807016442,0.12131073021226235,0.7160846186072695,0.7172956307977449
doencas_metabolicas,0.9661650994087518,0.9423709557925277,0.9481843342815309,0.9669972081161721,0.9421322807016442,1.0,0.14107383309690044,0.7189428708533798,0.7271261664818269
setor_destinado,0.1486000994698888,0.16191313117352682,0.21260769927413625,0.14915172993515025,0.12131073021226235,0.14107383309690044,1.0,0.5193216509788009,0.7801929421887549
tempo_permanencia,0.7272582910856618,0.7218789890784763,0.7236749159363738,0.7179373211286432,0.7160846186072695,0.7189428708533798,0.5193216509788009,1.0,0.8733656843499404
desfecho_padronizado,0.7252206296427227,0.7242097951042289,0.7315820631648262,0.7337248519036491,0.7172956307977449,0.7271261664818269,0.7801929421887549,0.8733656843499404,1.0
